county,taxable_assets,prop_tax_allocations,tax_rate,rank,income_per_capita,median_household_income,median_family_income,population,households_num,english_num,english_percent,history_num,history_percent,math_num,math_percent,science_num,science_percent,api_num,api,total_students_for_dropouts,total_students_graduating,dropouts_num,grad_percent,students_num,suspensions,suspension_rate,expulsions,expulsion_rate,truants_num,truancy_rate,teacher_total,student_teacher_ratio,bachelors,masters,masters_percent,associates,bachelors_exact,masters_exact,juris_doctor,phd
San Joaquin County,5.48E+10,6.04E+08,0.011,38,22851,54341,61292,685306,215007,98006,48.2,30052,39.1,95731,42.9,29284,48.8,92775,742,10454,7944,1609,76,146403,12876,8.8,371,0.3,41700,28.5,6447,22.71,4368,2079,0.32,3,4332,2040,0,39
San Luis Obispo County,4.20E+10,4.35E+08,0.0104,17,29790,57365,72054,269637,102016,24712,62.9,7745,54,24214,56.3,7400,64.1,24529,813,3052,2674,235,87.6,36283,2034,5.6,90,0.2,13321,36.7,1726,21.02,1182,544,0.32,0,1182,541,0,3
San Mateo County,1.42E+11,1.55E+09,0.0109,3,43958,85648,101578,718451,257837,66786,66,19823,57.9,66552,59.5,19413,66.1,64601,822,6775,5642,745,83.3,97508,4760,4.9,194,0.2,20265,20.8,4875,20.00,3035,1840,0.38,0,3032,1797,2,41
Santa Barbara County,6.15E+10,6.49E+08,0.0106,18,29731,60078,69190,423895,142104,47313,53.2,14440,45.2,46156,49.3,14004,55,45760,772,5231,4433,549,84.7,68916,3609,5.2,40,0.1,16749,24.3,3183,21.65,1847,1336,0.42,0,1845,1316,0,20
Santa Clara County,2.97E+11,3.54E+09,0.0119,4,39804,86850,100733,1781642,604204,193147,67.6,56324,58.2,192169,62,56109,69.6,188941,833,20282,16450,2671,81.1,280945,10464,3.7,250,0.1,59448,21.2,12729,22.07,7443,5286,0.42,6,7413,5149,2,135
Santa Cruz County,3.32E+10,3.62E+08,0.0109,11,32862,65253,80264,262382,94355,27786,53.9,8090,45.7,27380,47,8088,58.8,25929,761,2968,2416,337,81.4,41203,512,1.2,46,0.1,13256,32.2,1864,22.10,1337,527,0.28,0,1337,516,0,11
Shasta County,1.51E+10,1.65E+08,0.0109,35,23772,43944,55456,177223,70346,19251,60.1,6354,48.1,18964,51.1,5929,62.9,17957,805,2310,1990,248,86.2,28922,2307,8,53,0.2,7784,26.9,1341,21.57,1047,294,0.22,1,1044,291,0,3
Sierra County,5.62E+08,5821000,0.0104,23,27389,52950,67933,3240,1482,290,59.3,112,43.8,284,45.8,84,66.7,314,803,33,32,1,97,451,5,1.1,0,0,127,28.2,32,14.09,24,8,0.25,0,23,7,0,1
Siskiyou County,4.38E+09,4.60E+07,0.0105,40,22179,36981,47037,44900,19505,4199,55.1,1375,45.7,4072,50.1,1320,59.7,3923,792,404,358,34,88.6,6403,342,5.3,14,0.2,547,8.5,378,16.94,300,78,0.21,3,295,76,0,2
Solano County,3.93E+10,4.53E+08,0.0115,20,28649,68409,77321,413344,141758,46227,55.8,14195,46.9,45479,48.5,13777,55.1,45655,770,5226,4073,859,77.9,68130,7172,10.5,124,0.2,17194,25.2,2921,23.32,2032,889,0.30,3,2017,866,0,23
Sonoma County,6.66E+10,7.37E+08,0.0111,12,32597,63274,76715,483878,185825,49451,60.8,14866,47.9,48742,52,14629,61.1,47316,793,5611,4444,694,79.2,74111,4348,5.9,214,0.3,12417,16.8,3786,19.58,2857,929,0.25,0,2853,901,2,26
Stanislaus County,3.50E+10,3.88E+08,0.0111,42,22064,51094,57433,514453,165180,74534,52.4,23091,47.2,73872,45.1,22237,54.2,72225,769,8164,6397,1193,78.4,110949,10805,9.7,426,0.4,25794,23.2,4806,23.09,3952,854,0.18,2,3939,842,0,12
Sutter County,8.08E+09,8.69E+07,0.0108,39,22344,50944,57581,94737,31437,4417527,57.2,1372141,48.8,4364558,51.5,1316296,59.5,12513,788,1575,1238,184,78.6,23362,1603,6.9,96,0.4,3346,14.3,1252,18.66,900,352,0.28,0,896,347,0,5
Tehama County,4.59E+09,4.68E+07,0.0102,48,20198,38137,45451,63463,23767,15309,56.1,4542,41.5,14715,47.4,4576,55.3,7327,781,840,706,100,84.1,11645,633,5.4,10,0.1,2333,20,547,21.29,467,80,0.15,2,463,78,1,1
Trinity County,1.22E+09,1.24E+07,0.0101,41,22073,38725,46686,13786,6083,1081,55.8,386,51.3,1072,47.1,347,62.2,1148,779,137,126,1,92,1818,165,9.1,0,0,617,33.9,116,15.67,86,30,0.26,0,86,30,0,0
Tulare County,2.77E+10,3.03E+08,0.0109,56,17966,43851,47126,442179,130352,71080,47.3,20274,42.8,70305,45.6,21002,51.4,69534,748,6908,5520,1030,79.9,103384,5983,5.8,103,0.1,30317,29.3,4297,24.06,2996,1301,0.30,0,2988,1292,3,6
Tuolumne County,6.33E+09,6.65E+07,0.0105,32,25483,47462,62440,55365,22156,4594,60.7,1571,48.1,4348,48.3,1402,62.1,4247,796,598,504,64,84.3,7170,640,8.9,46,0.6,1439,20.1,545,13.16,369,176,0.32,2,361,171,2,3
Ventura County,1.04E+11,1.14E+09,0.0109,13,32348,75348,84364,823318,266920,101449,60,31571,54.8,100919,52.1,30268,64,100225,796,11172,9241,1204,82.7,147807,7756,5.2,215,0.1,39471,26.7,6285,23.52,3363,2922,0.46,7,3339,2881,6,35
Yolo County,2.03E+10,2.29E+08,0.0113,22,27420,57077,73259,200849,70872,21022,58.1,6434,52.6,20725,49.9,6236,62.4,21091,788,2300,1970,238,85.7,31088,2231,7.2,44,0.1,7318,23.5,1489,20.88,1073,416,0.28,0,1072,399,0,17
Yuba County,4.82E+09,4.86E+07,0.0101,51,19937,46807,53289,72155,24307,9798,50.8,2761,40.9,9388,49.3,2868,53.3,9081,758,1075,777,188,72.3,15306,1553,10.1,106,0.7,947,6.2,702,21.80,569,133,0.19,0,549,128,0,5
