County,Net taxable a/  assessed value,"Property tax allocations and levies b,e/ (city)","Property tax allocations and levies b,e/ (County)","Property tax allocations and levies b,e/ (School)","Property tax allocations and levies b,e/ (Other Districts)","Property tax allocations and levies b,e/ (Total)",Average tax rate (%) 2010-11,Rank,Per Capita Income,Median Household Income,Median Family Income,Population,Number of Households,English-Language Arts (Grades 2-11) - Number of scores,English-Language Arts (Grades 2-11) - % Proficient or Advanced,"History (Grades 8 and 11, and end-of-course) - Number of scores","History (Grades 8 and 11, and end-of-course) - % Proficient or Advanced","Mathematics (Grades 2-7, and end-of-course) - Number of scores","Mathematics (Grades 2-7, and end-of-course) - % Proficient or Advanced","Science CST (Grades 5, 8, and 10) - Number of scores","Science CST (Grades 5, 8, and 10) - % Proficient or Advanced",Number of Students Included in API,2011 Base API,Total Student Cohort,Total Cohort Graduates,Cohort Dropouts,Cohort Graduation Percentage
Alameda,"$190,650,454,000 ","$435,889,000 ","$308,362,000 ","$1,024,168,000 ","$532,170,000 ","$2,300,588,000 ",1.21%,10,33961,69384,85014,1510271,545138,"153,138",62,"46,044",50.7,"152,084",55.3,"44,551",64,144470,801,"17,154","13,616","2,302",79.4
Alpine,729693000,-,4532000,1910000,855000,7298000,1%,14,32159,63478,80278,1175,497,62,50,11,27.3,62,53.2,22,68.2,56,787,*,*,*,0
Amador,4604205000,1978000,14844000,29102000,920000,46843000,1.02%,29,26329,54758,65103,38091,14569,"3,045",56.4,968,44.5,"2,909",48.2,892,63.9,3022,781,359,318,28,88.6
Butte,18677038000,10164000,22056000,119992000,45858000,198070000,1.06%,36,23404,43170,54924,220000,87618,"21,608",55.3,"7,230",48.1,"21,074",47.6,"6,514",62.2,20797,772,"2,553","2,156",292,84.5
Calaveras,6086526000,533000,13032000,44391000,8514000,66470000,1.09%,21,28408,54971,65542,45578,18886,"4,441",57,"1,510",48.3,"4,315",49.9,"1,386",63.4,4469,783,590,534,29,90.5
Colusa,2761585000,1594000,7666000,17024000,2117000,28400000,1.03%,45,21317,48016,53643,21419,7056,"3,208",44.2,961,35.2,"3,100",40.2,955,43,3101,724,346,280,46,80.9
Contra Costa,"142,642,995,000",126468000,186144000,832739000,461244000,1606596000,1.13%,5,37818,78385,91791,1049025,375364,"121,360",63.3,"36,964",54.1,"118,905",56.5,"35,976",64.6,121565,805,"13,265","11,080","1,337",83.5
Del Norte,1738472000,145000,3326000,11560000,2982000,18012000,1.04%,53,18974,36118,51824,28610,9907,"2,781",47.9,919,33.7,"2,742",42.2,843,47.4,2745,740,379,303,34,80
El Dorado,25698965000,6257000,59649000,136624000,69036000,271567000,1.06%,7,34393,70000,83142,181058,70223,"21,229",68.9,"6,579",61.3,"20,690",63.6,"6,390",72.2,21320,840,"2,501","2,243",140,89.7
Fresno,60344118000,79065000,85192000,444937000,86751000,695945000,1.15%,47,20329,46430,52306,930450,289391,"136,684",51.8,"40,887",43.1,"136,240",49.5,"40,094",52.6,133347,767,"14,648","11,085","2,243",75.7
Glenn,2603910000,1597000,5438000,19129000,1171000,27334000,1.05%,50,19987,43074,49773,28122,9800,"3,881",45.4,"1,222",32.6,"3,857",36.9,"1,183",48.4,4015,736,444,358,60,80.6
Humboldt,11099605000,2799000,21648000,76200000,16745000,117391000,1.06%,34,24025,40089,53221,134623,56031,"12,118",57.8,"3,657",46.3,"11,786",49.3,"3,679",59.2,11925,782,"1,504","1,190",215,79.1
Imperial,9552070000,7354000,16051000,63032000,22017000,108454000,1.14%,58,16395,38685,43490,174528,49126,"26,199",47.7,"8,154",38.6,"25,977",45.8,"7,921",47.5,25966,748,"2,687","2,207",259,82.1
Inyo,4075800000,478000,12063000,26350000,3710000,42601000,1.05%,28,26762,44808,61898,18546,8049,"2,228",44.9,730,40.1,"2,143",42.1,697,52.1,2036,765,"1,019",320,484,31.4
Kern,77944174000,42871000,232497000,530517000,99760000,905646000,1.16%,49,20100,47089,51311,839631,254610,"123,514",47.3,"36,452",43.4,"121,905",43.9,"35,785",51.6,120064,748,"13,533","10,295","2,282",76.1
Kings,8950237000,5983000,21257000,51830000,17880000,96950000,1.08%,57,17875,48684,53498,152982,41233,"20,184",50.1,"6,138",40.2,"19,969",45.7,"6,064",49.7,19208,759,"2,130","1,559",387,73.2
Lake,6849382000,1028000,15420000,40820000,15821000,73089000,1.07%,44,21531,39491,50140,64665,26548,"6,432",46.8,"2,001",35.7,"6,254",39.6,"1,897",52.3,6412,737,709,621,60,87.6
Lassen,2230409000,925000,4418000,16330000,1109000,22782000,1.02%,52,19756,50317,62842,34895,10058,"3,427",49.2,"1,164",33.7,"3,277",40.7,"1,051",50,2795,760,479,370,84,77.2
Los Angeles,"1,052,233,625,000",1807444000,2539883000,5960724000,2260943000,12568994000,1.20%,24,27344,55476,61622,9818605,3241204,"1,128,566",54.4,"353,466",45.7,"1,112,999",49.4,"339,020",56.9,1087445,767,"131,634","98,315","19,678",74.7
Madera,10142195000,2935000,15775000,81856000,12674000,113240000,1.12%,54,18724,46039,51115,150865,43317,"21,430",45.7,"6,431",41.4,"21,359",41.2,"6,256",46.6,20642,747,"2,178","1,732",299,79.5
Marin,55792974000,65879000,105556000,370369000,78295000,620098000,1.11%,1,53000,89268,112911,252409,103210,"22,479",75.4,"6,189",64.6,"22,202",67.1,"6,510",78.1,21748,865,"2,164","1,951",138,90.2
Mariposa,2079008000,-,5313000,14469000,1124000,20906000,1.01%,26,27064,49098,57682,18251,7693,"1,272",64.7,482,44.2,"1,257",53.9,443,67.7,1449,797,177,152,16,85.9
Mendocino,9840384000,1909000,27476000,68890000,10822000,109096000,1.11%,37,23357,43759,51787,87841,34945,"9,118",46.6,"2,778",45.4,"8,780",39.3,"2,721",50.6,8413,723,"1,015",830,111,81.8
Merced,16375063000,9506000,38121000,132339000,18691000,198658000,1.21%,55,18041,43844,47924,255793,75642,"39,205",49.3,"12,007",43.5,"38,465",45.7,"11,715",53.8,39652,764,"4,360","3,657",449,83.9
Modoc,1029817000,323000,2724000,6686000,593000,10326000,1.00%,46,20536,34588,46349,9686,4064,"1,136",46.3,376,43.1,"1,084",41.4,338,56.5,1116,758,109,93,14,85.3
Mono,5595854000,2442000,17669000,25978000,14920000,61008000,1.09%,25,27321,55087,74888,14202,5768,"1,149",56.2,326,46,"1,144",50.6,350,64.6,1160,772,190,116,36,61.1
Monterey,48819404000,31039000,78076000,338791000,83327000,531233000,1.09%,30,25776,59271,63372,415057,125946,"50,838",46,"14,524",40.7,"49,927",42.4,"14,714",49.2,48868,738,"4,825","3,802",616,78.8
Napa,27073643000,25815000,54551000,194379000,17011000,291755000,1.08%,8,34310,67389,80030,136484,48876,"14,971",57,"4,808",46.8,"14,822",49,"4,530",54.2,14931,778,"1,598","1,341",163,83.9
Nevada,15641810000,12059000,22146000,93957000,35506000,163668000,1.05%,15,30727,57121,66753,98764,41527,"8,205",61.8,"2,872",53.3,"8,001",48.4,"2,610",63.6,8137,795,"2,048","1,005",673,49.1
Orange,"417,883,826,000",457136000,266121000,2747874000,951820000,4422951000,1.06%,9,34017,74344,83735,3010232,992781,"360,810",65.6,"116,066",61.1,"358,021",61.7,"108,449",70.1,363001,828,"43,004","36,686","3,911",85.3
