county,taxable_assets,prop_tax_allocations,prop_tax_allocations_per_student,tax_rate,rank,income_per_capita,median_household_income,median_family_income,population,households_num,english_num,english_percent,history_num,history_percent,math_num,math_percent,science_num,science_percent,api_num,api,total_students_for_dropouts,total_students_graduating,dropouts_num,grad_percent,students_num,suspensions,suspension_rate,expulsions,expulsion_rate,truants_num,truancy_rate,teacher_total,student_teacher_ratio,bachelors,masters,masters_percent,associates,bachelors_exact,masters_exact,juris_doctor,phd
Los Angeles County,1.05E+12,1.26E+04,7.66E+03,0.012,24,27344,55476,61622,9818,3241204,1128566,54.4,353466,45.7,1112999,49.4,339020,56.9,1087445,767,131634,98315,19678,74.7,1643.9,72753,4.4,"1,093",0.1,532871,32.4,72390,22.7,37986,34404,48,166,36749,33569,76,759
Madera County,1.01E+10,1.13E+02,3.52E+03,0.0112,54,18724,46039,51115,150,43317,21430,45.7,6431,41.4,21359,41.2,6256,46.6,20642,747,2178,1732,299,79.5,32.1,3632,11.3,172,0.5,9073,28.2,1432,22.5,1105,327,23,1,1101,322,0,5
Marin County,5.58E+10,6.20E+02,1.93E+04,0.0111,1,53000,89268,112911,252,103210,22479,75.4,6189,64.6,22202,67.1,6510,78.1,21748,865,2164,1951,138,90.2,32.1,1323,4.1,42,0.1,6649,20.7,1790,18,1120,670,37,0,1115,643,0,27
Mariposa County,2.08E+09,2.09E+01,9.95E+03,0.0101,26,27064,49098,57682,18,7693,1272,64.7,482,44.2,1257,53.9,443,67.7,1449,797,177,152,16,85.9,2.1,245,11.3,20,0.9,371,17.1,121,17.9,96,25,21,0,96,23,0,2
Mendocino County,9.84E+09,1.09E+02,7.90E+03,0.0111,37,23357,43759,51787,87,34945,9118,46.6,2778,45.4,8780,39.3,2721,50.6,8413,723,1015,830,111,81.8,13.8,1500,10.8,52,0.4,2600,18.8,793,17.4,614,179,23,1,608,172,0,7
Merced County,1.64E+10,1.99E+02,3.35E+03,0.0121,55,18041,43844,47924,255,75642,39205,49.3,12007,43.5,38465,45.7,11715,53.8,39652,764,4360,3657,449,83.9,59.4,6322,10.6,91,0.2,16178,27.2,2492,23.9,2060,432,17,1,2055,428,0,4
Modoc County,1.03E+09,1.03E+01,6.06E+03,0.01,46,20536,34588,46349,9,4064,1136,46.3,376,43.1,1084,41.4,338,56.5,1116,758,109,93,14,85.3,1.7,75,4.3,3,0.2,575,33.3,108,16,85,23,21,0,85,23,0,0
Mono County,5.60E+09,6.10E+01,2.90E+04,0.0109,25,27321,55087,74888,14,5768,1149,56.2,326,46,1144,50.6,350,64.6,1160,772,190,116,36,61.1,2.1,97,4.5,0,0,379,17.5,129,16.8,95,34,26,0,91,34,0,0
Monterey County,4.88E+10,5.31E+02,6.99E+03,0.0109,30,25776,59271,63372,415,125946,50838,46,14524,40.7,49927,42.4,14714,49.2,48868,738,4825,3802,616,78.8,76,4731,6.2,69,0.1,12051,15.9,3251,23.4,2213,1038,32,5,2198,1015,0,23
Napa County,2.71E+10,2.92E+02,1.36E+04,0.0108,8,34310,67389,80030,136,48876,14971,57,4808,46.8,14822,49,4530,54.2,14931,778,1598,1341,163,83.9,21.4,1057,4.9,51,0.2,3789,17.7,1031,20.8,771,260,25,2,769,253,0,7
Nevada County,1.56E+10,1.64E+02,1.04E+04,0.0105,15,30727,57121,66753,98,41527,8205,61.8,2872,53.3,8001,48.4,2610,63.6,8137,795,2048,1005,673,49.1,15.8,781,4.9,18,0.1,2473,15.6,657,24.2,475,182,28,3,472,178,0,4
Orange County,4.18E+11,4.42E+03,8.49E+03,0.0106,9,34017,74344,83735,3010,992781,360810,65.6,116066,61.1,358021,61.7,108449,70.1,363001,828,43004,36686,3911,85.3,520.7,22213,4.3,369,0.1,100600,19.3,20381,25.6,8809,11572,57,4,8798,11406,0,166
Placer County,5.40E+10,5.83E+02,8.07E+03,0.0108,6,35680,74447,89196,348,132627,50407,72.1,16087,63.9,49870,60.3,15176,75.2,47660,853,5669,5031,339,88.8,72.2,3218,4.5,74,0.1,11210,15.5,3254,22.2,2290,964,30,0,2285,951,1,12
Plumas County,3.95E+09,4.06E+01,1.77E+04,0.0103,19,28732,44000,54182,20,8977,1580,62.5,451,52.5,1517,49.7,475,65.9,1445,814,206,170,28,82.5,2.3,0,0,0,0,424,17.9,17,139.6,11,6,35,0,11,6,0,0
Riverside County,2.21E+11,2.40E+03,5.32E+03,0.0109,33,24431,57768,64787,2189,686260,300818,56.2,96337,45.9,300362,48.7,90135,58,300495,780,33410,27494,3734,82.3,450.8,26843,6,988,0.2,132157,29.3,17748,25.4,6778,10970,62,15,6735,10828,4,138
Sacramento County,1.23E+11,1.34E+03,5.32E+03,0.0109,27,26953,56439,66003,1418,513945,166752,55.9,51537,47.9,163669,50.2,49350,57.6,161518,779,19092,14647,2608,76.7,252.1,20649,8.2,268,0.1,72330,28.7,10792,23.4,7127,3665,34,7,7045,3554,10,101
San Benito County,5.81E+09,6.05E+01,5.08E+03,0.0104,31,25508,65771,75051,55,16805,8002,52.6,2601,49.4,8009,40.4,2433,55.8,8096,764,846,737,79,87.1,11.9,517,4.3,28,0.2,4053,34,464,25.7,364,100,22,0,364,96,0,4
San Bernardino County,1.66E+11,1.87E+03,4.21E+03,0.0113,43,21867,55845,61526,2035,611618,292972,52.1,93425,42.2,288408,46.2,88099,54.3,284149,767,33861,26105,4487,77.1,444.3,32225,7.3,944,0.2,161076,36.3,17649,25.2,9999,7650,43,43,9873,7518,20,112
San Diego County,3.78E+11,4.15E+03,7.89E+03,0.011,16,30715,63069,73560,3095,1086865,349546,63,111424,53,346169,55.3,104417,64.8,323349,812,40264,31567,4198,78.4,526.2,21638,4.1,592,0.1,116826,22.2,23136,22.7,10187,12949,56,10,10068,12762,16,171
San Francisco County,1.58E+11,1.84E+03,2.91E+04,0.0117,2,45478,71304,85778,805,345811,38919,60,12013,51.8,38915,56.4,11420,61,37332,793,6787,3747,2474,55.2,63.3,1610,2.5,33,0.1,12971,20.5,1852,34.2,1028,824,44,0,1027,816,1,7
San Joaquin County,5.48E+10,6.04E+02,4.13E+03,0.011,38,22851,54341,61292,685,215007,98006,48.2,30052,39.1,95731,42.9,29284,48.8,92775,742,10454,7944,1609,76,146.4,12876,8.8,371,0.3,41700,28.5,6447,22.7,4368,2079,32,3,4332,2040,0,39
San Luis Obispo County,4.20E+10,4.35E+02,1.20E+04,0.0104,17,29790,57365,72054,269,102016,24712,62.9,7745,54,24214,56.3,7400,64.1,24529,813,3052,2674,235,87.6,36.2,2034,5.6,90,0.2,13321,36.7,1726,21,1182,544,32,0,1182,541,0,3
San Mateo County,1.42E+11,1.55E+03,1.59E+04,0.0109,3,43958,85648,101578,718,257837,66786,66,19823,57.9,66552,59.5,19413,66.1,64601,822,6775,5642,745,83.3,97.5,4760,4.9,194,0.2,20265,20.8,4875,20,3035,1840,38,0,3032,1797,2,41
Santa Barbara County,6.15E+10,6.49E+02,9.42E+03,0.0106,18,29731,60078,69190,423,142104,47313,53.2,14440,45.2,46156,49.3,14004,55,45760,772,5231,4433,549,84.7,68.9,3609,5.2,40,0.1,16749,24.3,3183,21.7,1847,1336,42,0,1845,1316,0,20
Santa Clara County,2.97E+11,3.54E+03,1.26E+04,0.0119,4,39804,86850,100733,1781,604204,193147,67.6,56324,58.2,192169,62,56109,69.6,188941,833,20282,16450,2671,81.1,280.9,10464,3.7,250,0.1,59448,21.2,12729,22.1,7443,5286,42,6,7413,5149,2,135
Santa Cruz County,3.32E+10,3.62E+02,8.79E+03,0.0109,11,32862,65253,80264,262,94355,27786,53.9,8090,45.7,27380,47,8088,58.8,25929,761,2968,2416,337,81.4,41.2,512,1.2,46,0.1,13256,32.2,1864,22.1,1337,527,28,0,1337,516,0,11
Shasta County,1.51E+10,1.65E+02,5.71E+03,0.0109,35,23772,43944,55456,177,70346,19251,60.1,6354,48.1,18964,51.1,5929,62.9,17957,805,2310,1990,248,86.2,28.9,2307,8,53,0.2,7784,26.9,1341,21.6,1047,294,22,1,1044,291,0,3
Sierra County,5.62E+08,5.82E+00,1.46E+04,0.0104,23,27389,52950,67933,3,1482,290,59.3,112,43.8,284,45.8,84,66.7,314,803,33,32,1,97,0.4,5,1.1,0,0,127,28.2,32,14.1,24,8,25,0,23,7,0,1
Siskiyou County,4.38E+09,4.60E+01,7.19E+03,0.0105,40,22179,36981,47037,44,19505,4199,55.1,1375,45.7,4072,50.1,1320,59.7,3923,792,404,358,34,88.6,6.4,342,5.3,14,0.2,547,8.5,378,16.9,300,78,21,3,295,76,0,2
Solano County,3.93E+10,4.53E+02,6.65E+03,0.0115,20,28649,68409,77321,413,141758,46227,55.8,14195,46.9,45479,48.5,13777,55.1,45655,770,5226,4073,859,77.9,68.1,7172,10.5,124,0.2,17194,25.2,2921,23.3,2032,889,30,3,2017,866,0,23
Sonoma County,6.66E+10,7.37E+02,9.95E+03,0.0111,12,32597,63274,76715,483,185825,49451,60.8,14866,47.9,48742,52,14629,61.1,47316,793,5611,4444,694,79.2,74.1,4348,5.9,214,0.3,12417,16.8,3786,19.6,2857,929,25,0,2853,901,2,26
Stanislaus County,3.50E+10,3.88E+02,3.50E+03,0.0111,42,22064,51094,57433,514,165180,74534,52.4,23091,47.2,73872,45.1,22237,54.2,72225,769,8164,6397,1193,78.4,110.9,10805,9.7,426,0.4,25794,23.2,4806,23.1,3952,854,18,2,3939,842,0,12
Sutter County,8.08E+09,8.69E+01,3.73E+03,0.0108,39,22344,50944,57581,94,31437,4417527,57.2,1372141,48.8,4364558,51.5,1316296,59.5,12513,788,1575,1238,184,78.6,23.3,1603,6.9,96,0.4,3346,14.3,1252,18.7,900,352,28,0,896,347,0,5
Tehama County,4.59E+09,4.68E+01,4.03E+03,0.0102,48,20198,38137,45451,63,23767,15309,56.1,4542,41.5,14715,47.4,4576,55.3,7327,781,840,706,100,84.1,11.6,633,5.4,10,0.1,2333,20,547,21.3,467,80,15,2,463,78,1,1
Trinity County,1.22E+09,1.24E+01,6.89E+03,0.0101,41,22073,38725,46686,13,6083,1081,55.8,386,51.3,1072,47.1,347,62.2,1148,779,137,126,1,92,1.8,165,9.1,0,0,617,33.9,116,15.7,86,30,26,0,86,30,0,0
Tulare County,2.77E+10,3.03E+02,2.93E+03,0.0109,56,17966,43851,47126,442,130352,71080,47.3,20274,42.8,70305,45.6,21002,51.4,69534,748,6908,5520,1030,79.9,103.3,5983,5.8,103,0.1,30317,29.3,4297,24.1,2996,1301,30,0,2988,1292,3,6
Tuolumne County,6.33E+09,6.65E+01,9.37E+03,0.0105,32,25483,47462,62440,55,22156,4594,60.7,1571,48.1,4348,48.3,1402,62.1,4247,796,598,504,64,84.3,7.1,640,8.9,46,0.6,1439,20.1,545,13.2,369,176,32,2,361,171,2,3
Ventura County,1.04E+11,1.14E+03,7.71E+03,0.0109,13,32348,75348,84364,823,266920,101449,60,31571,54.8,100919,52.1,30268,64,100225,796,11172,9241,1204,82.7,147.8,7756,5.2,215,0.1,39471,26.7,6285,23.5,3363,2922,46,7,3339,2881,6,35
Yolo County,2.03E+10,2.29E+02,7.39E+03,0.0113,22,27420,57077,73259,200,70872,21022,58.1,6434,52.6,20725,49.9,6236,62.4,21091,788,2300,1970,238,85.7,31,2231,7.2,44,0.1,7318,23.5,1489,20.9,1073,416,28,0,1072,399,0,17
Yuba County,4.82E+09,4.86E+01,3.18E+03,0.0101,51,19937,46807,53289,72,24307,9798,50.8,2761,40.9,9388,49.3,2868,53.3,9081,758,1075,777,188,72.3,15.3,1553,10.1,106,0.7,947,6.2,702,21.8,569,133,19,0,549,128,0,5
