County,Net taxable a/  assessed value,"Property tax allocations and levies b,e/ (city)","Property tax allocations and levies b,e/ (County)","Property tax allocations and levies b,e/ (School)","Property tax allocations and levies b,e/ (Other Districts)","Property tax allocations and levies b,e/ (Total)",Average tax rate (%) 2010-11,Rank,Per Capita Income,Median Household Income,Median Family Income,Population,Number of Households,English-Language Arts (Grades 2-11) - Number of scores,English-Language Arts (Grades 2-11) - % Proficient or Advanced,"History (Grades 8 and 11, and end-of-course) - Number of scores","History (Grades 8 and 11, and end-of-course) - % Proficient or Advanced","Mathematics (Grades 2-7, and end-of-course) - Number of scores","Mathematics (Grades 2-7, and end-of-course) - % Proficient or Advanced","Science CST (Grades 5, 8, and 10) - Number of scores","Science CST (Grades 5, 8, and 10) - % Proficient or Advanced",Number of Students Included in API,2011 Base API,Total Student Cohort,Total Cohort Graduates,Cohort Dropouts,Cohort Graduation Percentage,Enrollment,Suspensions,Suspension Rate,Expulsions,Expulsion Rate,Truants,Truancy Rate,Bachelors or less,Masters or more,Associates,Bachelors,Masters,Juris Doctor,PhD
Imperial County,9552070000,7354000,16051000,63032000,22017000,108454000,1.14%,58,16395,38685,43490,174528,49126,"26,199",47.7,"8,154",38.6,"25,977",45.8,"7,921",47.5,25966,748,"2,687","2,207",259,82.1,"38,251","4,327",11.3,39,0.1,"12,173",31.8,980,681,9,965,671,1,9
Inyo County,4075800000,478000,12063000,26350000,3710000,42601000,1.05%,28,26762,44808,61898,18546,8049,"2,228",44.9,730,40.1,"2,143",42.1,697,52.1,2036,765,"1,019",320,484,31.4,"5,948",201,3.4,0,0.0,336,5.6,143,86,1,140,82,1,3
Kern County,77944174000,42871000,232497000,530517000,99760000,905646000,1.16%,49,20100,47089,51311,839631,254610,"123,514",47.3,"36,452",43.4,"121,905",43.9,"35,785",51.6,120064,748,"13,533","10,295","2,282",76.1,"185,629","11,201",6.0,376,0.2,"50,289",27.1,5622,2628,8,5606,2595,0,33
Kings County,8950237000,5983000,21257000,51830000,17880000,96950000,1.08%,57,17875,48684,53498,152982,41233,"20,184",50.1,"6,138",40.2,"19,969",45.7,"6,064",49.7,19208,759,"2,130","1,559",387,73.2,"31,462","2,273",7.2,156,0.5,"9,061",28.8,1127,487,1,1124,476,1,10
Lake County,6849382000,1028000,15420000,40820000,15821000,73089000,1.07%,44,21531,39491,50140,64665,26548,"6,432",46.8,"2,001",35.7,"6,254",39.6,"1,897",52.3,6412,737,709,621,60,87.6,"10,100","1,259",12.5,84,0.8,"2,683",26.6,376,85,2,372,82,0,3
Lassen County,2230409000,925000,4418000,16330000,1109000,22782000,1.02%,52,19756,50317,62842,34895,10058,"3,427",49.2,"1,164",33.7,"3,277",40.7,"1,051",50,2795,760,479,370,84,77.2,"5,500",276,5.0,4,0.1,792,14.4,209,57,0,206,57,0,0
Los Angeles County,"1,052,233,625,000",1807444000,2539883000,5960724000,2260943000,12568994000,1.20%,24,27344,55476,61622,9818605,3241204,"1,128,566",54.4,"353,466",45.7,"1,112,999",49.4,"339,020",56.9,1087445,767,"131,634","98,315","19,678",74.7,"1,643,936","72,753",4.4,"1,093",0.1,"532,871",32.4,37986,34404,166,36749,33569,76,759
Madera County,10142195000,2935000,15775000,81856000,12674000,113240000,1.12%,54,18724,46039,51115,150865,43317,"21,430",45.7,"6,431",41.4,"21,359",41.2,"6,256",46.6,20642,747,"2,178","1,732",299,79.5,"32,197","3,632",11.3,172,0.5,"9,073",28.2,1105,327,1,1101,322,0,5
Marin County,55792974000,65879000,105556000,370369000,78295000,620098000,1.11%,1,53000,89268,112911,252409,103210,"22,479",75.4,"6,189",64.6,"22,202",67.1,"6,510",78.1,21748,865,"2,164","1,951",138,90.2,"32,158","1,323",4.1,42,0.1,"6,649",20.7,1120,670,0,1115,643,0,27
Mariposa County,2079008000,-,5313000,14469000,1124000,20906000,1.01%,26,27064,49098,57682,18251,7693,"1,272",64.7,482,44.2,"1,257",53.9,443,67.7,1449,797,177,152,16,85.9,"2,170",245,11.3,20,0.9,371,17.1,96,25,0,96,23,0,2
